开放粤语例句词库

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［粤语例句］*［国语释义］

 揸住手噉教佢	手把手地教他

你黐咗线呀？	你疯了吗？

你点出术我都唔怕你	你怎么出鬼点子，我都不怕你

你点会喺度噶？	你怎么会在这里？

你点睇？	你怎么看？

你点知噶？	你怎么知道的？

你点知噶？	你怎么知道？

你点称呼吖？	怎么称呼你啊？

你点解唔理我？	你为什么不理睬我？

你点解将头发染成噉嘅？	你为甚么把头发染成这样的？

佢一个人可以托两包米	他一个人可以扛两包米

佢一个人坐喺度，粒声都唔出	他一个人坐在那里，一句话也不说

佢一个屈尾十又去澳门	他一下掉头又去了澳门

佢一个屈尾十就走人	他一掉头就走

佢一味喺度画画，边度都唔去	他只是在那里画画，什么地方都不去

佢一嬲起嚟鬼都惊	他一发起火来鬼都害怕

佢一定会翻嚟	他一定会回来

佢一早就推架木头车出嚟开档	他一大早就推着那辆木制手推车出来摆摊儿

佢一时睇唔开，竟然想到自杀	他一时想不开，竟然想到了自杀

佢一时睇唔开，竟然想到自杀	他一时想不开，竟然想到了自杀

佢一有乜冬瓜豆腐，就即刻叫佢个仔翻嚟	他一有个三长两短的，就马上叫他的儿子回来

佢一条气抄咗两万字	他一股劲抄了两万字

佢一焮起嚟就几好嘅	他劲头来的时候还算不错

佢一翻到屋企，就第一时间打开电视	他一进家门，首先拧开电视机

佢一见到生暴人就思思缩缩嘅	他一见到陌生人就很拘束的

佢一见咗上司就扮衰仔	他一见了上司就怯弱了

佢一路都唔食烟嘅	他一向都不抽烟的

佢一头煮饭一头睇书	他一边儿做饭一边儿看书

佢不溜有信翻嚟	他经常有信回来

他向來不吃辣	他向来不吃辣

佢不特完成咗任务，仲超额添	他不但完成了任务，还超额呢

佢乜嘢都落手落脚做噶	什么事他都亲自动手做

佢乜都唔理，一味大觉瞓	他什么都不管，只是睡大觉

佢乜都唔识，畀啲唔等使嘅嘢佢做就得㗎喇	他什么都不会，给他一些无关紧要的活儿干就行了

佢乜都唔识，畀啲唔等使嘅嘢佢做就得噶喇	他什么都不会，给他一些无关紧要的活儿干就行了

佢乜都赖晒我	他什么都推在我身上

佢五年前就退休嘞	他五年前就退休了

佢今日放假嘅，就专戥嚟探你噶	他今天放假，就特地来探望你

佢今日着乜嘢衫我唔觉眼	他今天穿什么衣服我没注意

佢今次痛得好紧要	他这回病得挺厉害的

佢仔女多，一揪一掕噉去边度都唔方便	他小孩多，拖儿带女的上哪儿去也不方便

佢仔女都出咗身，一身松啦	他的儿女都有工作了，一身轻快了

佢以前做过卧底	他从前搞过潜伏工作的

佢以前入过黑社会，不过十年前就已经上岸	他以前参加过黑社会组织，不过十年前就已经洗手不干享清福去了

佢以前成日做主角，而家畀公司雪藏咗	他从前经常当主角，现在被公司打入冷宫

佢以前净系顾住揾银，连屋企都好少翻	他以前只顾着挣钱，连家也很少回

佢以前用劳力揾钱，而家识得用钱揾钱	他以前用劳力来挣钱，现在懂得用钱去赚钱

佢以为得米	他以为得计

佢以为捞到乜嘢笋嘢，点知得个吉	他以为捞到什么好东西，谁知是一场空

佢仲系好夜先瞓	他总是很晚才睡

佢仲做系看更	他还是做护卫员

佢仲咁细个，唔使咁快教佢写字嘅	他还小，用不着这么快就教他写字

佢仲在生	他还活着

佢仲行到？	他还走得了？

佢份人做嘢好惊青，做呢单嘢实撞板，赚畀人话公司冇料到啫	他这个人做事慌里慌张的，做这事一定会碰钉子，反叫人家说公司没能耐呢

佢份人冇乜点，就系懒啲	他这个人没什么特别的，就是有点儿懒

佢份人咁盟塞，讲咗都嘥气	他这人又顽固又不讲道理，说了也白费口水

佢份人唔错	他的为人不错

佢份人好任性	他这个人太任性

佢份人好悭皮，从来唔搭的士	他这个人很节省，从来不坐出租小汽车

佢份人好求其	他这个人很随便

佢份人好爽嘅，揾佢帮手，佢实应承	他这人挺爽快的，找他帮忙，他一定会答应

佢份人好癫	他这个人很疯狂

佢份人好直噶！	他这个人很直爽！

佢份人好钟意同人顶颈	他的为人，很爱跟人家抬杠

佢份人好开心！	他这个人很开心！

佢份人孤寒到死，从来唔会借钱畀人	他这个人小气的要命，从来不肯借钱给别人

佢份人几好	他的为人挺好

佢份人点？	他这个人怎么样？

佢份人，有乜嘢着数就连汁都捞埋，唔会益人	他那种人，有什么好处就自己全吞了，别人休想得益

佢企喺出便	他站在外面

佢伯爷过咗身啰	他父亲去世了

佢似老母	她像母亲

佢似老母	她像母亲

佢似足佢老豆	他与他父亲像极了

佢似足老窦	他像极了父亲

佢似足老窦	他像极了父亲

佢住喺我隔篱	他住我隔壁

佢佗人有六个月咯	她怀孕有六个月了

佢系乜嘢颜噶？	它是什么颜色的？

佢系你个女	她是你的女儿

佢系个识饮识食之人	他是个懂得美食之道的人

佢系唔好，不过话晒三十年夫妻	他是不好，不过毕竟是三十年夫妻

佢系唔了解情况嘅，估估吓嘅啫	他是不了解情况的，瞎猜罢了

佢系大厦嘅看更	他是大厦的门卫

佢系威系势噉一讲，大家都以为系真嘅	他煞有介事地一讲，大家都以为是真的

佢系几点钟走嘅？	他是什么时候离开的？

佢系我嘅老表	他是我的表亲

佢系我大佬	他是我大哥

佢系我细佬	他是我的弟弟

佢系搅屎棍，到处搅搅震，搅到满天神佛	他可不是省油的灯，到处捣乱，都闹翻天了

佢系用乜嘢料做噶？	它是用什么料做的？

佢系畀人捻死嘅	他是被人掐死的

佢系病君嚟，入医院就好似翻屋企噉	他是个老病号，进医院就像回家一样

佢系病君嚟，入医院就好似翻屋企噉	他是个老病号，进医院就像回家一样

佢系老板个仔，做嘢好挜拃	他是老板的儿子，做起事来挺霸道的

佢系老王举荐嚟嘅	他是老王推荐来的

佢系要嚟做乜嘢用噶？	它是干什么用的？

佢系边个呀？ 	他是谁？

佢系都唔肯去	他说甚么都不肯去

佢系都要去	他非要去

佢系香港人	他是香港人

佢个人咁识捞，要上位梗系容易好多啦	他这人这么会钻营，要往上爬肯定很容易的

佢个人丧丧哋，佢讲啲嘢你唔使理咁多	他这个人疯疯癫癫的，他说的话你别听

佢个人好木噶	他这人挺木讷的

佢个人好话为嘅	他这人好商量

佢个人沙沙滚，做乜都唔成	他这个人不踏实，做什么都做不成

佢个仔成日同人打交，霎气啰	他的孩子整天跟人打架，够气人了

佢个样好cute	他的样子好可爱

佢个样好cute	他的样子好可爱

佢个样好上镜	她的模样出众，很能抢镜头

佢个面口好熟	他很面熟

佢个面红红噉，好似发烧	他的脸红红的，像是发烧

佢做乜嘢都咁求其，点会畀老板睇重吖	他干什么活都这么马虎，怎会让老板看重

佢做乜都好淡定	他干什么都很稳重

佢做事够晒他条	他做事非常稳重

佢做咗咁多年主席，结果畀个靓仔踩低	他当了主席这么多年，结果被一个小年青挤垮

佢做咗几十年工，应该叹翻吓世界嘞	他工作了几十年，应该享享福了

佢做咗猪仔	他被收买了

佢做嘢好快脆	他干活儿挺利索的

佢做嘢好揦西，周时要帮佢执手尾	他做事很马虎，经常得帮他收拾残局

佢做嘢好求其	他做事很马虎

佢做嘢好爽手	他干活很利索

佢做嘢好爽脆	他做事情很干脆

佢做嘢好稳阵	他做事很稳重

佢做生意系有几度散手	他做生意是有点儿本事

佢偷咗嘢仲大模斯样噉行出门口	他偷了东西还大模大样的走出门口

佢偷鸡冇去开会	他偷懒没去开会

佢入行冇几耐，唔识规矩	他加入这一行没多久，不懂规矩

佢入过嚟咩？我唔觉眼	他进来过吗？我没留意

佢两个人喺嗰度斟盘	他俩在那里商议

佢两个似到好似孖女噉	她们俩的相貌相像得像是孪生姐妹似的

佢两个好啱偈	他俩很合得来

佢两个好熟落	他俩很熟

佢两个早就掟煲咯	他们俩早就吹了

佢两个行得好埋	他们俩常来常往

佢两兄弟嗌交一日嘈到黑，真系冇修！	他们兄弟俩吵架从早吵到晚，真没辙儿！

佢两兄弟嗌交一日嘈到黑，真系冇修！	他们兄弟俩吵架从早吵到晚，真没辙！

佢两兄弟好似样	他两兄弟很相像

佢八十几仲好硬挣	他八十多岁还很硬朗

佢冇乜料，但算靓仔一个，唔打得都睇得嗰停	他无实力，但算是好看，中看不中用那种

佢冇做到功课	他没有做功课

佢冇嘢噶，一见到生暴人就系噉噶啦	他没事的，一看见生人就是这个样了

佢冇几何咁准时	他难得这么守时

佢冇错吖，点解话佢呢？	他没有错嘛，怎么说他呢？

佢出咗街	他上街了

佢出年就毕业	他明年就毕业

佢刚啱出咗去	他刚好出去了

佢势凶夹狼噉冲入嚟，分明系撩交打啦	他气势汹汹地闯进来，分明是想打架

佢十几岁就卖猪仔去咗南洋	他十几岁就卖身去南洋做苦工

佢去咗湾仔	他去了湾仔

佢去咗睇医生	他看病去了

佢去咗边呀？	他去了哪里？

佢去银行攞钱	他去银行取款

佢又懒又冇料，正一系废柴	他又懒又没有才学，真是一个废物

佢又点可以代表公司发言嘅，赚搅！	他又怎么可以代表公司发言，白费劲儿！

佢叫我唔好惦呢单嘢	他叫我别碰这件案子

佢叫我畀一千蚊佢	他叫我给他一千块

佢同仔女揾学校，好拣择噶	他给子女挑学校，很挑剔的

佢同你三九唔识七	他跟你互不相识

佢同你究竟咩关系？	他跟你到底是什么关系？

佢同佢老豆一个饼印噉	他跟他爸爸就像一个模子刻出来的

佢同嗰个女人系有啲挐褦	他和那个女人是有些牵连

佢同团友详细讲解参观路线	他向团员详细讲解参观路线

佢同女友散咗档	他跟女友分手了

佢同女朋友掟咗煲	他跟女朋友分了手

佢吓吓都用电脑	他干什么事都要用电脑的

佢呃咗我好多钱	他骗了我很多钱

佢呢个人唔讲究着食，好悭皮嘅	他这个人不讲究吃穿，很节省

佢呢个人鬼五马六嘅事零舍多	他这个人乌七八糟的事特别多

佢呢几日好肉紧	他这几天心情很烦躁

佢呢排傍咗个新老细	他最近靠上了新老板

佢呢排成日为呢件事闭翳	他最近整天为这件事发愁

佢呢排捞到风生水起	他这阵子混得很好

佢呢排有多少进步	他最近有一些进步

佢呢排精神唔好，成个病君样	他近来精神不好，像个病夫的样子

佢呢种人睬佢都傻	他这种人，傻瓜才理他

佢呢种人，净系识得靠呃呃骗骗过日子	他这种人，只能靠全靠坑蒙拐骗过日子

佢周时都关心大家	他经常都关心大家

佢周身的肌肉好实	他浑身的肌肉都很结实

佢咁刁蛮，我都费事睬佢	她这么蛮不讲理，我懒得理她

佢咁叻，我服咗佢	他那么聪明，我服了他

佢咁好人，点会搅成噉？	他人这么好，怎么会弄成这样？

佢咁懒个㖞	他多懒啊

佢咁畀面，例牌要上门多谢嘅	他这么赏脸，按理要上门答谢的

佢咁神高神大，点解唔去打篮球啫？	他这么高大魁梧，干嘛不去打篮球？

佢咁精，你咬唔入嘅	他这么精明，你占不了便宜的

佢咁精，你咬唔入嘅	他这么精明，你占不了便宜的

佢咁老积，好似几十勾噉	他那么老成，像几十岁似的

佢咁耐仲唔翻嚟，我个心十五十六	他这么久还不回来，我心里七上八下

佢咁耐都唔嚟，是必有乜嘢事咯	他那么久都不来，一定有什么事了

佢咁靓女，你惊冇人吼咩	她长得这么漂亮，你担心没人看中她吗！

佢咁闹个老公法，成只老虎乸咁	她这样骂老公，活像一只母老虎

佢咩料呀？	他什么来头？

佢哋一个讲英文，一个讲日文，简直系鸡同鸭讲	他们一个说英语，一个日语，简直说不通

佢哋两个又好翻咯	他们两个又和好了

佢哋以前有仇口	他们过去有积怨

佢哋系公众人物，系无乜私隐噶喇	他们人人都认识，没有什么隐私可言

佢哋系孖女嚟噶	她们是孪生姐妹

佢哋个个都系百厌星	他们全都是淘气包

佢哋做得成夫妻都系全靠我呢把大葵扇咋	他们能结为夫妻全靠我做的媒

佢哋倾密偈我就行开，我好熟性嘅	他们谈心我就躲开，我很通情达理的

佢哋入咗公司咁多年，而家仲系散仔一名	他们来公司干了这么多年，到现在还是打杂的

佢哋全部都系义工	他们全都是义务工作者

佢哋两个个样好似	他俩样子很相像

佢哋两个个样好似	他俩样子很相像

佢哋两个好行得埋	他们俩很合得来

佢哋两个早就散咗嘞	他们两个早就分手了

佢哋两兄弟成个饼印噉	他们兄弟俩长得一模一样

佢哋到西贡医肚	他们去西贡填填肚子

佢哋吹咗都似	他俩的事很可能吹了

佢哋唱起上嚟好好听	他们刚刚开始唱很好听

佢哋啲嘢贵咗啲	他们的东西贵了一点

佢哋喺度赖死，个个都冇晒佢哋办法	他们在这儿赖着不走，人人都拿他没办法

佢哋嗰度有好靓嘅海鲜	他们那儿有很不错的海鲜

佢哋嚟广州学粤语	他们来广州学粤语

佢哋居然敢违反合约，噉仲得掂！	他们居然敢违背合约，这还了得！

佢哋拍拖，我哋无谓做电灯胆啦	他俩在谈恋爱，我们别在这儿不识趣

佢哋最钟意听男歌星唱冧歌	她们最喜欢听那些男歌星唱深情的流行歌曲

佢哋会喺度住一阵	他们会在这里住一会儿

佢哋正话行紧	他们正处在谈恋爱阶段

佢哋畀人劏咗二百蚊	他们被人勒索了二百元

佢哋结成婚系我揸大葵扇	他们今天能结婚，还是我作的媒呢

佢哋自己去呀？噉实荡失路啦！	他们自己去啊？这样一定会迷路的！

佢哋错晒啦	他们都错了

佢响工厂打工	他在工厂做工

佢唔系几识陈太噶	他不怎么认识陈太太

佢唔系几钟意呢件衫	他不太喜欢这件衣服

佢唔制	他不愿意

佢唔想畀你知	他不想让你知道

佢唔想讲就无谓督爆佢啦	他不想说就别揭穿他了

佢唔敢开声	他不敢吭声

佢唔会唔嚟啩	他不会不来吧

佢唔眼瞓，唔好焗佢瞓	他不困，就别逼他睡觉

佢唔算腌尖	他不算挑剔了

佢唔觉意写错咗个答案	他不小心写错了答案

佢唔记得带嚟都有之噶	他忘了带来也是可能的

佢唔识日文	他不懂日语

佢唔道歉，我实唔睬佢格	他不道歉，我肯定不理他的

佢唔食杂	他不吃荤

佢唔黐家嘅，放工实唔会即刻翻屋企	她不恋家的，下了班肯定不会马上回家

佢啱先仲喺度	他刚才还在这里

佢啱啱执咗个女	她刚刚生了一个女孩

佢啱啱病好，仲好瘦削	他刚刚病好，还很瘦弱

佢啱啱翻咗香港	他刚刚回了香港

佢啱啱臊咗一个仔	她刚生了一个男孩

佢啱啱行过，条桩就揜落嚟，当衰系啦	他刚走过，桩子就倒下来，该倒霉就是了

佢啲半咸淡普通话笑到人哋肚赤	他那南腔北调的普通话把人家的肚子都笑疼了

佢啲嘢畀人讲晒出嚟，当时佢真系想揾窿捐	他的事让人全都说了出来，当时他恨不得找个地方藏起来

佢啲头发生得密质质噉	他的头发长得密密麻麻的

佢喉咙痛，热气都唔定	他嗓子疼，说不定是上火了

佢喊得好凄凉	他哭得很悲哀

佢喐亲就睇医生食药	他动不动就去看病吃药

佢喺一间出入口公司做文员	他在一家进出口公司做职员

佢喺出便等你	他在外面等你

佢喺地盘做管工	他在工地做管工

佢喺度做都系骑牛揾马噶啫	他在这里也都是骑驴找马

佢喺度无理取闹, 大家都费事睬佢	他在这儿无理取闹，大家都懒得理他

佢喺广州工作，家眷喺韶关，经常上落	他在广州工作，家属在韶关， 经常来往于两地

佢喺我老板面前督我背脊，话我工作时间蛇王	他在我老板面前打小报告，说我工作时间偷懒

佢喺房度成日放住啲音乐	他在房间里总是放着音乐

佢喺演唱会度唱好多劲歌，啲歌迷个个都好high	他在演唱会里唱很多节奏强劲的歌，歌迷们都极度兴奋

佢喺生暴人面前好扤失嘅	他在陌生人面前很拘谨

佢喺生疏人面前好扤失嘅	他在圣人面前很拘谨

佢喺里便	他在里面

佢喺办公室行行企企，乜嘢都唔做	他在办公室里这儿走走，那儿站站，甚么活儿都不干

佢嗌亚黄去	他喊阿黄去

佢嗍咗一啖烟	他吸了一口烟

佢嗍咗一啖烟	他吸了一口烟

佢嗰年卖猪仔去咗南洋	他那年被卖到南洋做苦工去了

佢嘅仔考到第一名㖞	他的儿子考了个第一名呢

佢嘅作风咁鬼马，好人都有限嘞	他的作风这样不正经，多半不是好人

佢嘅作风太浮	他的作风太轻浮

佢嘅刀法认真犀利	他的刀功的确厉害

佢嘅字写得好四正	他的字写得很端正

佢嘅字真系靓到极喇	他的字真是漂亮极了

佢嘅成绩唔曳	他的成绩不差

佢嘅成绩麻麻哋啦，唔算好	他的成绩勉强过得去，不算好

佢嘅手艺冇得顶	他的工艺没人比得过他

佢嘅文章写得好通掂	他的文章写得很通顺

佢嘅演讲好感人，台下个个都听到眼湿湿	他的演讲十分感人，台下的人听得眼泪汪汪的

佢嘅球技真系冇得顶	他的球技真是顶呱呱

佢嘅病好噉啲咯	他的病好一些了

佢嘅发言空空洞洞，简直唔挐耕	他的发言空空洞洞，简直不着边际

佢嘅真面目卒之畀人识穿晒	他的真面目终于被识破了

佢嘅声喉真大	他的嗓门真大

佢嘅身家就系呢几个杠喇	他的全部家当就是这几个箱子

佢嘅身体好实净	他的身体很结实

佢嘅医术好巴闭噶	他的医术很了不起

佢嘅头发飞得咁巖巉	他的头发理得那么参差不齐

佢喽我去睇电影	他约我去看电影

佢喽我买咗嗰部单车	他劝我买那辆自行车

佢噅我借钱畀佢	他求我借钱给他

佢噉嘅行为, 真系犯众憎	他这样的行为，人人憎恨

佢噉都做得，真掯	他这样也能干，真有本事

佢吓亲你呀？	他使你受惊了？

佢嚟咗	他来了

佢嚟喇	他来了

佢嚟我度倾偈	他来我这里聊天

佢嚟过，不过我唔觉眼	他来过，不过我没注意

佢地结成婚系我揸大葵扇	他们今天能结婚，还是我作的媒呢

佢坐到挜开晒对脚，真难睇	他叉着腿坐，真难看

佢坐喺入便	他坐在里头

佢坐喺埋便	他坐在里边

佢坐喺我隔篱	他坐在我旁边

佢够晒时唛噶喇	他够时髦的

佢大力到只牛噉	他力气大得像牛似的

佢大过我	他比我大

佢太太攞埋鸡汤嚟片场探班	他太太带上鸡汤来电影拍摄场探望他

佢太矮，一起脚都睇唔见	他个子太矮，踮起脚也看不见

佢失咗踪	他失踪了

佢失败咗就趯更	他失败了就逃命

佢夹埋个妹嚟呃亚妈	他连同妹妹一起哄骗妈妈

佢夹硬抢咗我三粒糖	他硬的抢了我三粒糖

佢好似有病噉	他像有病似的

佢好似未瞓醒噉	他好像还没有睡醒似的

佢好似未瞓醒噉	他好像还没有睡醒似的

佢好倾得	他很健谈

佢好冇手尾	他很不爱做善后

佢好厉害，我点打都埋唔到佢身	他好厉害，我怎么打都不能靠近他

佢好厉害，我点打都埋唔到佢身	他好厉害，我怎么打都靠近不了他

佢好大力捻我个面	他使劲地捏我的脸蛋

佢好好相与，唔会同人顶颈	他脾气很好，不会跟人抬杠

佢好孤寒，你咬唔入佢嘅	他很吝啬，你占不了他的便宜

佢好孤寒，呢啲嘢奉旨唔买	他很吝啬，这些东西准不买

佢好密实噶，唔会乱讲话嘅	他嘴严着呢，不会乱说的

佢好得意呀	他很可爱啊

佢好悭，存咗好多钱	他很省俭，存了很多钱

佢好打得	他很能打架

佢好抵得谂噶	他这人挺不计较的

佢好挂住上海嘅朋友	他很想念上海的朋友

佢好早就过埠咯	他很早就出洋去了

佢好易发脾气噶，唔好惹佢	他很容易发脾气的，不要逗他

佢好烂瘾捉棋	他下棋的瘾头很大

佢好烂食	他很贪吃

佢好犀利，噉都忍到	他很厉害，这样他也能忍

佢好相与嘅	他好商量的

佢好眼利，一眼就睇出件衫有几长	他眼力很好，一眼就看出这件衣服有多长

佢好硬颈，周时同人哋顶颈	他脾气很犟，常常跟别人吵架

佢好粗鲁，成个男人婆咁	她十分粗鲁，整一个男人似的

佢好细个就去咗外国，啲中文好水	他从小就到国外去了，中文很差劲

佢好老实，奉旨唔会呃人	他很诚实，决不骗人

佢好认叻	他很好胜逞强

佢好通气嘅，睇见人哋有困难就嚟帮手	他很体贴人，见人家有困难就来帮忙

佢好腌尖噶，又拣择	他很挑剔，要求很高

佢好醒瞓，喐啲都知	他睡觉很惊醒，有点响动他都知道

佢好锡佢个仔	他很疼他儿子

佢好钟意人哋笠高帽噶	他很喜欢人家用好话恭维他

佢好钟意打交	他很喜欢打架

佢好钟意睇公仔书	他很喜欢看漫画书

佢好靓仔	他很漂亮

佢好高quali	他的学历很高

佢好高噶	他很高

佢好鲊噶	他的水平很低

佢妈妈旧年入咗安老院	她妈妈去年进了老人院

佢妈妈旧年入咗安老院	她妈妈去年进了老人院

佢嫌费事所以冇去睇医生	他嫌麻烦, 所以没有上医院看病

佢嬲到出面	他气得脸色都变了

佢守龙门好叻噶	他守球门很出色

佢害咁多人，应该拉去打靶	他害了这么多人，应该抓去枪毙

佢写专栏都系交行货啫，冇乜好睇	他写的专栏文章都只是一般的水平，没什么可读的

佢将成副身家都投资到呢间工厂，真系搏到尽	他把所有财产都投资到这家工厂，真是拼搏到底了

佢将本书画到花哩碌	他把书画得乱七八糟的

佢专同我拗颈	他专门跟我抬杠

佢专戥嚟探你噶	他特地来看你

佢专门同人哋执臊虾仔	她专门帮别人接生

佢就嚟四十岁咯	他快四十岁了

佢就宜得你快啲扯	他就巴不得你快点走

佢就巴闭啰，秘书都两三个	他的排场可大了，秘书都两三个

佢就成日闹人，好多同事都顶佢唔顺	他就整天骂人，很多同事都受不了他

佢居然肯落面嚟见我	他居然愿意放下架子来见我

佢屈埋喺个角落头度	他蜷缩在角落里

佢屋企嘅厕纸、文具全部系公司挞翻嚟嘅	他家里的卫生纸、文具，全从公司弄回来的

佢差唔多日日都翻屋企食饭，间中一两次会喺外面食	他差不多每天都回家吃饭，偶尔一次半次会在外边吃

佢差啲畀坏人棍咗	他差点给坏人骗了

佢已经好翻晒，但系仲成日认住自己有病	他已经痊愈了，但还常常觉得自己有病

佢几乎激瓜咗佢老窦	他几乎把他父亲气死了

佢几时翻冇谱噶，十点又唔定，十一点又唔定	他几点钟回来没个准，十点说不准，十一点也说不准

佢几时走咗我唔觉意	他什么时候走我没留意

佢几时都有理	他什么时候都有理

佢后尾点呀？	他后来怎么样了？

佢后尾点样啫？	他后来怎样了？

佢得两个仔噶咋	他只有两个儿子

佢从来都唔会喺人面前认低威	他从来不会在别人面前甘拜下风

佢心情唔好就猛咁闹人	他心情不好就起劲地骂人

佢恃自己大力	他仗着自己力气大

佢恶到鬼噉，成日喊打喊杀	他凶极了，整天嚷着要打要杀的

佢恶死能登噉望住我	他恶狠狠地看着我

佢想喊咯，咪惹佢喇	他都想哭了，不要逗他了

佢想帮人，点知搅到自己一身潺	他想帮人家，谁知倒给自己惹了一身麻烦

佢想揾你倾吓	他想找你谈谈

佢想揾你倾吓	他想找你谈谈

佢想转工，唔想一世屈喺写字楼	他想换工作，不想一辈子呆在办公室里

佢惹咗一身癞渣	他传染上了一身疥疮

佢惯咗做夜游神晚晚两三点至瞓	他习惯了做夜猫子，每天晚上要两三点才睡

佢悭埋咁大笔钱结婚嗰时一次过使晒	他省吃俭用存了这么一大笔钱结婚时一下儿就花光了

佢成日同人顶颈	他整天跟人家拌嘴

佢成日喺度宜咿哦哦，烦到死	他整天在这里啰啰唆唆，真叫人心烦

佢成日扮晒cool噉，好少人同佢夹得嚟	他成天装出一副冷酷的样子，跟他处得来的人很少

佢成日为大家走趯	他整天为大家跑腿

佢成日瘀我	他老是损我

佢手瓜硬，你点斗得过佢㖞	他实力雄厚，你怎么能斗得过他

佢打人好狼胎噶	他打人非常狠

佢打咗个响指	他弹响了指头

佢打尖畀人赶咗出嚟，于是咪发烂渣啰	他加塞儿被人发现，赶了出来，所以就大发脾气

佢扭亲只脚，行路趷吓趷吓	他扭伤了脚，走路一瘸一拐地

佢扮嘢啫，你估佢好有钱咩？	他是装样子的，你以为他很有钱吗？

佢扮皇帝都几似模似样㖞	他扮演皇帝还挺像模像样的

佢扻亲个头	他的头被碰了一下

佢把口好密实，唔会乱咁同人讲嘅	他能够守口如瓶的，不会跟别人乱讲的

佢把口好犀利	他的嘴巴很厉害

佢把声咁好听	她的声音这么好听

佢把声好熟	他的声音很熟

佢押住支手枪	他掖着一支手枪

佢拎咗三件	他拿了三件

佢挟住个皮包	他夹着一个皮包

佢挨咗一世	他熬了一辈子

佢捻干嚿海绵	他把海绵挤干

佢捻烂咗个气球	他把气球捏破了

佢排行第屘	他排行最后

佢捞到霉晒	他混得很落泊

佢击败咗同组嘅对手而入围，有份参加决赛	他击败了同组的对手，可以参加决赛

佢拧转身就走咗	他转身就走了

佢擸咗大家一眼	他向大家扫了一眼

佢搅咗好耐至熟行	他搞了好久才熟练

佢改个乜嘢名好呢？	他取个什么名字好呢？

佢改咗好多噶喇	他改了很多了

佢既然拍心口应承，一定搅得惦嘅	他既然拍胸脯答应下来，就一定搞得好

佢日日都唉唉声，唔知做咩噶	他每天都唉声叹气，不知道在干嘛

佢早就拉柴咯	他早就死了

佢早就走人咯	他早就溜了

佢时不时嚟探我	他偶尔来看我

佢晚晚对住电脑做嘢，做到金睛火眼	他每晚对着计算机工作，忙得不亦乐乎

佢晚晚玩到半夜一两点至翻屋企，真系冇谱！	他每天晚上都玩到凌晨一两点才回家，太不像话！

佢最叻就系托老板	他最能的就是拍老板马屁

佢最后赢番一铺，都算攞翻个彩	他最后赢回一局，总算挣回点面子

佢最兴放电，啲男人都顶佢唔顺	她最喜欢到处抛眉眼，男人们都招架不住

佢最近个面口好差㖞，系咪有乜嘢病呀？	他最近的气色很不好，是不是有什么病啊？

佢最近点解咁耷？	为甚么他最近情绪那么低落？

佢有三十岁咁滞咯	他差不多有三十岁了

佢有事搵你倾	他有事跟你谈

佢有两个女	他有两个女儿

佢有两个妹	他有两个妹妹

佢有两度死桥	他有两下绝招

佢有冇畀面色你睇呀？	他有没有给脸色你看？

佢有啲戆戆哋	他有点傻头傻脑的

佢有几何考得咁好吖，奖励吓佢啦！	他能有几回考得这么好的？奖励奖励他吧！

佢有铺牛力	他有股牛劲

佢有钱过我	他比我有钱

佢望咗佢爸爸一眼	他看了看他爸爸

佢正一搅屎棍，搞到兄弟姊妹不和	她真是一个专门搬弄是非的人，搞得兄弟姊妹不和

佢正一搅屎棍，搅到兄弟姊妹不和	她真是一个专门搬弄是非的人，搞得兄弟姊妹不和

佢正话去踢波翻嚟，所以成身汗	他刚才去踢球回来，所以一身汗

佢武功咁使得，闲闲地打低几个衰人	他武功这么高强，打败几个坏蛋，小意思而已

佢每次都擸网顶	他每次都取得最高成绩

佢净系肉紧啲钱啫	他只是紧张这些钱

佢净系识讲唔识做	他只会说不会做

佢演老工人似模似样噃！	他扮演老工人很像样！

佢焮起嚟一气唱咗十几只歌	他一来劲一口气唱了十几首歌

佢热到懵咗	他热得昏迷过去了

佢争一分就合格，真系惨	他差一分就及格，真倒霉

佢爸爸做大寿开咗五十围酒	他爸爸做大寿办了五十桌酒席

佢爸爸做大寿开咗五十围酒	他爸爸做大寿办了五十桌酒席

佢玩完玩具好冇手尾,次次都要人帮佢执	他玩过玩具不收拾好，每次都要别人帮他收拾

